Repository_Name,Total
OpenSearch_Dashboard_Nginx_Proxy,1967
OpenSearch_CloudWatch_Alarms,1769
Flink_Kinesis_Data_Analytics,871
OpenSearch_Refresh_Interval,746
Glue_Aggregate_Small_Files,470
OpenSearch_Read_Only_Index,458
OpenSearch_Index_Shard_Size,318
OpenSearch_kNN_Vector_Search,274
OpenSearch_API_Examples,255
OpenSearch_Local_Dashboard_Server,253
EMR_Studio_Hudi,247
OpenSearch_Log_Analytics,232
OpenSearch_Kafka_Anomaly_Detection,229
Glue_Examples,171
OpenSearch_Neural_Search,168
Iceberg_EMR_Athena,150
OpenSearch_Pricing_Sizing_Calculator,150
MongoDB_Streams_Glue_Iceberg,147
SecurityLake_AmazonSecurityLakeMetaStoreManager,139
BM25_Search_Example,116
OpenSearch_Sigv4_IAM_Auth,111
Glue_Hudi,109
GitHub_Insigths_History,97
OpenSearch_DeletedDocuments,82
Cosine_Similarity_Search_Example,76
EMR_Studio_Iceberg,74
Kinesis_Data_Stream_Hot_Shard_Demo,64
OpenSearch_User_Role_Premission_Managment,60
Dev_Notes,60
OpenSearch_Resource_Flow_Chart,58
Glue_Spark_History_Server,50
DataZone_Demo_FSI,48
DataZone_Demo,47
Outlook_MSG_Parser_Python,47
CloudFormation_Examples,45
Bedrock_Examples,43
EMR_Studio_Deployment,39
EMR_Studio_Delta_Lake,38
code39_Bar_Code_Generator,37
Flink_Late_Arriving_Date_Event_Order,32
OpenSearch_DynamoDB_Example,31
Boto3_Authentication_Options,30
S3_Server_Access_Logs_ev2900-sharkech-public,26
OpenSearch_Audit_Logs,25
Data_Science_Notes,21
Arduino_Reference,21
Flink_Kinesis_Data_Analytics_Scala,20
EMR_Studio_Stock_Price_Demo,20
Redshift_Data_Sharing_Demo,19
Logstash_Example,17
Comprehend_Real-time_Analysis_Example,15
Managed_Streaming_for_Apache_Kafka_Examples,14
Fluentd_Examples,12
OpenSearch_Vector_Search_w_Fine-tuned_BERT_on_SageMaker,12
Neo4j_Infrastructure,11
OpenSearch_Mapping,10
Hudi_Glue,9
project-website,9
Restaurant_Order_Web_Application,9
IMU_Baro_GPS,6
Redshift_Helpful_Queries,5
Python_Web_Scraping,4
CMPSC_497F_Project,3
Robotic_Arm,3
current_Date_Time,2
react-toDo,2
DS_220_Project,2
Data_Structure_and_Algorithms,2
streaming-analytics-workshop,2
Simple_Python_Neural_Net,2
RESTful_API_w_node-restful,2
G-quadruplex_in_HSV,2
Payment_w_Stripe,1
Hackathon_Projects,1
data-prepper,1
Quadcopter,1
Quick_Twitter_Sentiment,1
Local_Auth_w_Passport,1
RESTful_API,1
