Repository_Name,Total
OpenSearch_Dashboard_Nginx_Proxy,7952
OpenSearch_CloudWatch_Alarms,6342
Flink_Kinesis_Data_Analytics,6074
Glue_Aggregate_Small_Files,2483
OpenSearch_Local_Dashboard_Server,1713
DataZone_Demo_FSI,1695
OpenSearch_kNN_Vector_Search,1388
MongoDB_Streams_Glue_Iceberg,1310
OpenSearch_Refresh_Interval,1293
OpenSearch_API_Examples,1277
EMR_Studio_Hudi,1277
Iceberg_EMR_Athena,1228
OpenSearch_Read_Only_Index,1060
OpenSearch_Log_Analytics,985
GitHub_Insigths_History,965
Glue_Examples,924
OpenSearch_Index_Shard_Size,918
OpenSearch_Kafka_Anomaly_Detection,785
Neo4j_Infrastructure,700
BM25_Search_Example,668
OpenSearch_Neural_Search,664
DataZone_Demo,584
OpenSearch_DeletedDocuments,534
Bedrock_Examples,518
SecurityLake_AmazonSecurityLakeMetaStoreManager,515
OpenSearch_Sigv4_IAM_Auth,493
Glue_Hudi,475
Cosine_Similarity_Search_Example,472
OpenSearch_Pricing_Sizing_Calculator,376
Iceberg_Glue_from_JARs,363
Flink_Late_Arriving_Date_Event_Order,307
Glue_Spark_History_Server,268
OpenSearch_Resource_Flow_Chart,261
OpenSearch_User_Role_Premission_Managment,246
CloudFormation_Examples,227
EMR_Studio_Iceberg,221
Kinesis_Data_Stream_Hot_Shard_Demo,188
S3_Server_Access_Logs_ev2900-sharkech-public,180
Arduino_Reference,176
Outlook_MSG_Parser_Python,166
OpenSearch_DynamoDB_Example,164
Dev_Notes,155
Boto3_Authentication_Options,140
Flink_Kinesis_Data_Analytics_Scala,128
EMR_Studio_Deployment,127
Managed_Streaming_for_Apache_Kafka_Examples,111
EMR_Studio_Delta_Lake,84
Redshift_Data_Sharing_Demo,82
project-website,81
OpenSearch_Vector_Search_w_Fine-tuned_BERT_on_SageMaker,77
code39_Bar_Code_Generator,77
Data_Science_Notes,72
Logstash_Example,71
Fluentd_Examples,68
Comprehend_Real-time_Analysis_Example,66
OpenSearch_Audit_Logs,63
EMR_Studio_Stock_Price_Demo,49
Hudi_Glue,34
Residential_Wiring_Notes,33
IMU_Baro_GPS,21
Restaurant_Order_Web_Application,20
Redshift_Helpful_Queries,18
Iceberg_Glue_register_table,16
Python_Web_Scraping,11
OpenSearch_Mapping,11
G-quadruplex_in_HSV,7
data-prepper,7
CMPSC_497F_Project,6
Simple_Python_Neural_Net,5
Data_Structure_and_Algorithms,4
current_Date_Time,4
react-toDo,4
DS_220_Project,4
RESTful_API_w_node-restful,4
Robotic_Arm,3
streaming-analytics-workshop,3
Quick_Twitter_Sentiment,1
Quadcopter,1
Local_Auth_w_Passport,1
RESTful_API,1
Payment_w_Stripe,1
Hackathon_Projects,1
