Repository_Name,2023-01-06T00:00:00Z,2023-01-07T00:00:00Z,2023-01-08T00:00:00Z,2023-01-09T00:00:00Z,2023-01-10T00:00:00Z,2023-01-11T00:00:00Z,2023-01-12T00:00:00Z,2023-01-13T00:00:00Z,2023-01-14T00:00:00Z,2023-01-15T00:00:00Z,2023-01-16T00:00:00Z,2023-01-17T00:00:00Z,2023-01-18T00:00:00Z,2023-01-19T00:00:00Z,2023-01-20T00:00:00Z,2023-01-21T00:00:00Z,2023-01-22T00:00:00Z,2023-01-23T00:00:00Z,2023-01-24T00:00:00Z,2023-01-25T00:00:00Z,2023-01-26T00:00:00Z,2023-01-27T00:00:00Z,2023-01-28T00:00:00Z,2023-01-29T00:00:00Z,2023-01-30T00:00:00Z,2023-01-31T00:00:00Z,2023-02-01T00:00:00Z,2023-02-02T00:00:00Z,2023-02-03T00:00:00Z,2023-02-04T00:00:00Z,2023-02-05T00:00:00Z,2023-02-06T00:00:00Z,2023-02-07T00:00:00Z
Arduino_Reference,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,
Boto3_Authentication_Options,,,,,,,,,,,,7.0,,,1.0,,,1.0,,,,,,,1,,,,,11,,,
CloudFormation_Examples,,,3.0,,1.0,,12.0,,,,4.0,,5.0,1.0,,,5.0,,,,1,,,,,,,,,,,5.0,
CMPSC_497F_Project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
code39_Bar_Code_Generator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comprehend_Real-time_Analysis_Example,,,,,,4.0,,,,,,,,9.0,1.0,,,,,,,4,,,,,,3,,,,,
current_Date_Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data-prepper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data_Structure_and_Algorithms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dev_Notes,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,1,,,3.0,
DS_220_Project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMR_Studio_Delta_Lake,,,,,,,,2.0,,,2.0,,1.0,,3.0,,,,,,,6,,,,1,,,1,,,,
EMR_Studio_Deployment,,,,2.0,1.0,,,,,,,1.0,1.0,1.0,1.0,,,,,,,1,,,,1,,,1,,,,
EMR_Studio_Hudi,,,5.0,,,9.0,,,,,4.0,1.0,,4.0,18.0,,4.0,4.0,,,8,8,,4,,,,1,1,,,,
EMR_Studio_Iceberg,,,,,2.0,,,5.0,,,2.0,11.0,1.0,1.0,6.0,,,,3,,,7,,,,,,,2,,,,
EMR_Studio_Stock_Price_Demo,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Flink_Kinesis_Data_Analytics,2.0,1.0,,26.0,12.0,19.0,11.0,29.0,,2.0,15.0,3.0,21.0,19.0,3.0,5.0,4.0,1.0,10,21,8,1,5,4,12,5,4,18,8,,11,19.0,5
Flink_Kinesis_Data_Analytics_Scala,,,,,3.0,,,,,,,,,,,,,,,6,,,6,,,,,,,,,,
Flink_Late_Arriving_Date_Event_Order,,,1.0,,,,,,,,2.0,1.0,,,5.0,,,,,,,,,,,,,,,,,,
Fluentd_Examples,,,,,,,,,,,1.0,2.0,,,,,1.0,,,,,,,,,,,,,,,,
G-quadruplex_in_HSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,
GitHub_Insigths_History,,,,,,,,,,,,,,15.0,1.0,,58.0,,,,,,,,,,,7,2,,,,
Glue_Examples,,,,1.0,5.0,,,,,,1.0,3.0,2.0,,3.0,,,,,4,6,,,,15,,,5,1,,,,
Hackathon_Projects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hudi_Glue,4.0,,,,3.0,4.0,5.0,,,,,,5.0,4.0,,,,,,,3,,,,,,2,,,,3,1.0,
IMU_Baro_GPS,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,
Kinesis_Data_Stream_Hot_Shard_Demo,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2,,,,,
Local_Auth_w_Passport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logstash_Example,,,,,,,,,,,,,2.0,,,,,,1,3,3,,,,,,,,3,,,4.0,3
Managed_Streaming_for_Apache_Kafka_Examples,,,,,,,2.0,,,,,,,,,,,,1,,,,,,,,,,,,,,
OpenSearch_API_Examples,,,,8.0,1.0,1.0,5.0,1.0,,,,,,4.0,32.0,,1.0,1.0,,,,1,,,10,8,,1,,,3,1.0,
OpenSearch_Audit_Logs,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
OpenSearch_CloudWatch_Alarms,11.0,,3.0,35.0,4.0,3.0,13.0,6.0,,3.0,19.0,10.0,19.0,15.0,2.0,2.0,2.0,29.0,3,28,9,8,,1,9,4,18,9,11,1,3,33.0,13
OpenSearch_Dashboard_Nginx_Proxy,10.0,13.0,2.0,8.0,2.0,8.0,1.0,7.0,,6.0,2.0,7.0,31.0,1.0,10.0,3.0,2.0,14.0,12,5,1,11,2,,16,27,20,32,24,1,,26.0,32
OpenSearch_DeletedDocuments,,,3.0,2.0,,,,,,,,,,3.0,,,8.0,,,,,,,,7,,,,,,,18.0,
OpenSearch_DynamoDB_Example,,,,,,,,1.0,,,2.0,,1.0,5.0,,,,,,,,,,,,,,,,,,,
OpenSearch_Index_Shard_Size,4.0,2.0,37.0,1.0,13.0,2.0,,,,,,,17.0,4.0,2.0,,7.0,,,,,,,,,,,,,,,,
OpenSearch_Kafka_Anomaly_Detection,,,,7.0,,1.0,5.0,,,,,,1.0,,,,1.0,,5,,,2,4,,1,3,2,1,,,3,2.0,1
OpenSearch_Log_Analytics,,,,13.0,1.0,1.0,1.0,,1.0,1.0,6.0,2.0,3.0,,1.0,,1.0,,,11,,,,,1,,,,1,,,2.0,4
OpenSearch_Refresh_Interval,,,5.0,2.0,,2.0,1.0,,,,,,5.0,1.0,3.0,,35.0,1.0,,,,,,,,,,1,,,,,
OpenSearch_Sigv4_IAM_Auth,,,,1.0,,,,,,,,,,,4.0,,,,,2,,,,,,1,,4,,,,10.0,
Outlook_MSG_Parser_Python,,,,,3.0,,1.0,1.0,1.0,,2.0,,,,,,,,,,,,,,,,1,,,,,,
Payment_w_Stripe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Python_Web_Scraping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quadcopter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quick_Twitter_Sentiment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
react-toDo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redshift_Data_Sharing_Demo,,,,9.0,5.0,10.0,,,,,,,2.0,13.0,2.0,,,,,,,,,,,,,1,,,2,,
Redshift_Helpful_Queries,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
Restaurant_Order_Web_Application,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RESTful_API,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
RESTful_API_w_node-restful,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robotic_Arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simple_Python_Neural_Net,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,
streaming-analytics-workshop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpenSearch_Read_Only_Index,,,,,,,,,,,,,,,,,40.0,2.0,,1,,,,,,,,1,,,,,
SecurityLake_AmazonSecurityLakeMetaStoreManager,SecurityLake_AmazonSecurityLakeMetaStoreManager,SecurityLake_AmazonSecurityLakeMetaStoreManager,SecurityLake_AmazonSecurityLakeMetaStoreManager,SecurityLake_AmazonSecurityLakeMetaStoreManager,SecurityLake_AmazonSecurityLakeMetaStoreManager,SecurityLake_AmazonSecurityLakeMetaStoreManager,SecurityLake_AmazonSecurityLakeMetaStoreManager,SecurityLake_AmazonSecurityLakeMetaStoreManager,SecurityLake_AmazonSecurityLakeMetaStoreManager,SecurityLake_AmazonSecurityLakeMetaStoreManager,SecurityLake_AmazonSecurityLakeMetaStoreManager,SecurityLake_AmazonSecurityLakeMetaStoreManager,SecurityLake_AmazonSecurityLakeMetaStoreManager,SecurityLake_AmazonSecurityLakeMetaStoreManager,SecurityLake_AmazonSecurityLakeMetaStoreManager,SecurityLake_AmazonSecurityLakeMetaStoreManager,SecurityLake_AmazonSecurityLakeMetaStoreManager,SecurityLake_AmazonSecurityLakeMetaStoreManager,SecurityLake_AmazonSecurityLakeMetaStoreManager,SecurityLake_AmazonSecurityLakeMetaStoreManager,SecurityLake_AmazonSecurityLakeMetaStoreManager,SecurityLake_AmazonSecurityLakeMetaStoreManager,SecurityLake_AmazonSecurityLakeMetaStoreManager,SecurityLake_AmazonSecurityLakeMetaStoreManager,SecurityLake_AmazonSecurityLakeMetaStoreManager,SecurityLake_AmazonSecurityLakeMetaStoreManager,SecurityLake_AmazonSecurityLakeMetaStoreManager,SecurityLake_AmazonSecurityLakeMetaStoreManager,SecurityLake_AmazonSecurityLakeMetaStoreManager,SecurityLake_AmazonSecurityLakeMetaStoreManager,SecurityLake_AmazonSecurityLakeMetaStoreManager,99.0,2
